request_id,arrival_time_ms,ttft_ms,tpot_ms,e2e_ms
req_2,642.5939724947993,36.65275278692218,31.888514285714297,2938.507552786923
req_1,177.55192528172145,147.09,36.866671604938254,6119.490799999998
req_5,3457.667534644871,80.68159063685152,47.7719470588235,3329.1739906368493
req_3,1477.3239237531325,28.30360152858907,40.796293048128334,7657.210401528588
req_7,6270.250580016186,81.63334526553263,39.28635609756101,3303.1145452655355
req_6,4642.925000142232,89.8417251394867,40.24588617886181,5040.085725139489
req_4,2379.7535845955863,63.74034068613673,41.74882526315783,7996.017140686125
req_8,7898.76695438261,71.46137089911099,43.80658113207533,7036.707770899088
req_10,11292.806720016211,57.704005265493834,49.10238636363624,4378.714005265483
req_9,9557.784662383909,49.445662897813236,47.52952190476173,10030.645262897777
req_11,13222.151133415859,68.08759186581665,48.38860227272716,8584.481591865797
req_12,15319.094157828751,78.22056745293958,47.8705206349205,9125.748967452915
req_13,17831.422719096543,56.93000618517544,48.20948823529373,6613.420406185123
req_14,20480.001129346194,65.28399593548602,43.90327619047668,11128.90959593561
req_15,23174.61733009559,63.71939518610088,42.27562626262684,8434.293395186214
req_16,25957.73809542078,61.685029860953364,39.42554285714321,6409.197429861011
req_17,28795.986100316608,86.84502496519417,33.146354887218365,4495.310224965237
req_18,31792.45213781309,49.13578746870553,27.614601834863148,6069.118987468872
req_20,38320.14222791457,28.07209736740333,25.953503296702873,2389.840897367365
req_19,34975.00205402322,53.18067125872767,26.68021647058851,6856.635871258797
req_21,42097.69879975481,482.48999999999796,31.514161904761835,5776.869199999986
req_22,45960.713865986974,39.354133767927124,32.171052229299214,5090.209333767903
req_23,49834.284860434855,45.73593932003132,27.14366406926403,6315.922339320023
req_24,53717.958794073864,41.82160568104882,27.040136312849885,4882.006005681178
req_25,57746.17204272001,37.78955703496467,27.80844571428634,2957.6763570350304
req_26,61784.193597446676,918.1600000000035,29.19394509803975,6873.724800000113
req_27,65848.41563003548,50.12836741133651,26.446124255319408,6264.967567411397
req_28,69933.62303137474,48.70896607203758,25.67531566265185,2179.760166072141
req_29,74034.54831013807,188.13000000000466,30.108075621891672,6239.853200000231
req_30,78232.09058330569,55.3409268323303,33.89928000000313,3953.7581268326903
req_31,82606.7562572721,1047.179999999993,34.096562962966146,8412.03760000068
req_32,87139.64070832529,55.17314894696756,35.95843503650076,4981.478748947571
req_33,91843.24427648795,52.9351807848725,31.39113600000157,3192.0487807850295
req_34,96761.91496773461,201.35000000000582,27.522623880594534,3889.381599999673
req_35,101729.10451131138,412.02999999999884,29.60474535519441,5829.698400000576
req_36,106751.81084574491,57.192065566938254,32.575210810813196,2467.7576655671146
req_37,111957.54692847496,460.8000000000029,28.78967938931034,4232.247999999658
req_38,117330.98094809534,1035.6399999999994,32.12376374269201,6528.803600000334
req_39,122792.3844376007,55.170110494829714,32.52851327433855,3730.892110495086
req_40,128307.25659369775,1017.7700000000041,31.074073333334674,4746.658800000165
req_41,133865.4454005653,319.0199999999895,28.197495890416487,4435.854400000797
req_42,139623.67455167978,1056.0299999999988,31.129047368422395,5787.645200000203
req_43,145389.23400773207,323.0557439479162,28.858253333340343,6383.288943949388
req_44,151173.9239509465,36.249000735086156,31.970095336787526,6206.477400735079
req_45,156965.09043569257,40.41091598910862,29.236571764711783,5010.628115990112
req_46,162805.74267520435,346.4800000000105,28.242860176979896,3537.9231999987387
req_47,168884.63833351282,940.679999999993,30.933466666668,3353.490400000097
req_48,175018.47247959947,915.4100000000035,30.933466666668,3328.2204000001075
req_49,181213.92039965178,271.97000000000116,28.001471052635008,4528.193600000523
req_50,187443.631880821,1039.9599999999919,31.156141714287056,6492.284800000227
